product_family,articulation,pose,product_weight_g,height_cm,complexity_score,stability_index,center_of_gravity,hair_length,dress_length,accessory_count,accessory_weight_g,fragility_score,attachment_needed,fragile_parts_count,movement_score,protection_score,packaging_complexity,overall_risk,recommended_head_strap,recommended_waist_strap,recommended_hand_strap,recommended_leg_strap,recommended_back_support,recommended_base_support,recommended_material,eco_score,relative_cost,recyclable
Dreamtopia,Standard,One Hand Up,121,30.0,7,5,Back,Medium,Knee,5,28.0,7,0,0,6,3,9,5.6,0,2,0,0,0,0,rPET,86.0,1.1,Yes
Made to Move,Made to Move,Arms Open,121,29.0,7,5,Left,Very Long,Short,0,0.0,0,0,2,6,2,8,5.0,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Fashionistas,Standard,One Leg Bent,119,29.2,3,8,Center,Medium,Knee,1,5.0,3,0,0,2,1,3,1.8,0,1,0,1,0,0,Recycled Cardboard + rPET,96.0,0.85,Yes
Signature,Made to Move,One Leg Bent,140,29.0,8,6,Center,Long,Knee,3,27.0,3,1,1,7,3,10,6.2,0,4,0,1,1,0,Virgin PET,54.0,1.0,Yes
Dreamtopia,Standard,One Leg Bent,122,30.0,7,5,Back,Medium,Knee,4,41.0,10,2,0,7,5,8,6.5,1,4,1,1,1,0,Virgin PET,50.0,1.0,Yes
Careers,Standard,Walking,124,29.0,5,7,Center,Long,Knee,5,75.0,7,3,1,5,6,7,5.8,1,3,1,1,0,0,rPET,78.0,1.1,Yes
Careers,Standard,One Hand Up,117,29.0,5,7,Center,Long,Knee,0,0.0,0,0,1,2,1,5,2.2,0,2,0,0,0,0,Recycled Cardboard + rPET,96.0,0.85,Yes
Extra,Curvy,Arms Open,130,30.0,6,6,Center,Very Long,Short,1,2.0,1,0,2,6,2,6,4.6,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Fashionistas,Standard,One Hand Up,112,29.0,3,8,Center,Short,Short,5,74.0,8,3,0,1,5,5,3.2,1,1,1,0,0,0,rPET,84.0,1.1,Yes
Careers,Standard,One Hand on Hip,119,29.0,5,7,Center,Medium,Knee,5,30.0,7,1,0,2,3,7,3.4,0,1,0,0,0,0,rPET,88.0,1.1,Yes
Fashionistas,Standard,Standing Straight,113,29.0,3,8,Center,Short,Long,4,49.0,6,2,1,0,6,4,2.9,1,2,1,0,0,0,Recycled Cardboard + rPET,92.0,0.85,Yes
Dreamtopia,Standard,Standing Straight,130,30.2,7,5,Back,Long,Short,4,42.0,8,2,1,5,6,8,6.0,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Extra,Curvy,Sitting,139,30.0,6,6,Center,Medium,Short,2,17.0,3,1,0,4,1,6,3.4,0,2,0,0,0,0,rPET,86.0,1.1,Yes
Made to Move,Made to Move,Standing Straight,123,29.0,7,5,Left,Medium,Long,0,0.0,0,0,1,4,1,8,3.8,0,2,0,0,0,0,rPET,86.0,1.1,Yes
Dreamtopia,Standard,One Leg Bent,129,30.0,7,5,Back,Very Long,Knee,1,2.0,3,0,2,7,3,7,5.6,0,3,0,1,0,0,rPET,82.0,1.1,Yes
Extra,Curvy,Arms Open,134,30.0,6,6,Center,Very Long,Long,5,27.0,5,0,3,6,6,8,6.4,1,4,0,0,1,0,Virgin PET,54.0,1.0,Yes
Fashionistas,Standard,One Hand Up,112,29.0,3,8,Center,Short,Long,4,60.0,5,4,1,1,7,4,3.7,2,2,2,0,1,0,rPET,72.0,1.1,Yes
Fashionistas,Standard,Arms Open,114,29.0,3,8,Center,Short,Knee,0,0.0,0,0,0,2,0,3,1.5,0,1,0,0,0,0,Recycled Cardboard + rPET,98.0,0.85,Yes
Fashionistas,Standard,One Hand on Hip,120,29.0,3,8,Center,Very Long,Short,3,22.0,3,0,2,2,4,4,3.1,1,2,0,0,0,0,rPET,84.0,1.1,Yes
Fashionistas,Standard,Two Hands Up,114,29.0,3,8,Center,Very Long,Knee,3,28.0,6,2,2,2,6,4,3.8,1,2,1,0,0,0,rPET,82.0,1.1,Yes
Careers,Standard,One Leg Bent,125,29.0,5,7,Center,Short,Knee,4,54.0,9,3,0,4,5,6,4.8,1,3,1,1,0,0,rPET,78.0,1.1,Yes
Careers,Standard,Two Hands Up,130,29.0,5,7,Center,Very Long,Knee,4,41.0,8,4,2,4,8,6,5.8,2,3,2,0,1,0,rPET,70.0,1.1,Yes
Careers,Standard,One Hand Up,129,29.0,5,7,Center,Long,Knee,0,0.0,0,0,1,3,1,5,2.7,0,2,0,0,0,0,Recycled Cardboard + rPET,96.0,0.85,Yes
Fashionistas,Standard,Sitting,118,29.0,3,8,Center,Medium,Knee,1,30.0,1,1,0,0,1,3,1.0,0,1,0,0,0,0,Recycled Cardboard + rPET,98.0,0.85,Yes
Fashionistas,Standard,Walking,117,29.0,3,8,Center,Short,Short,5,47.0,7,3,0,3,5,5,4.1,1,3,1,1,0,0,rPET,78.0,1.1,Yes
Careers,Standard,Walking,123,29.0,5,7,Center,Short,Knee,3,49.0,6,3,0,5,5,6,5.2,1,3,1,1,0,0,rPET,78.0,1.1,Yes
Careers,Standard,Standing Straight,127,29.0,5,7,Center,Medium,Knee,4,31.0,9,1,0,2,3,6,3.2,0,2,0,0,0,0,rPET,86.0,1.1,Yes
Signature,Made to Move,One Hand on Hip,141,29.0,8,6,Center,Short,Long,2,12.0,3,1,1,6,2,9,5.2,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Careers,Standard,Sitting,115,29.0,5,7,Center,Medium,Short,3,27.0,7,2,0,1,4,6,3.0,1,2,1,0,0,0,rPET,82.0,1.1,Yes
Signature,Made to Move,One Hand on Hip,144,29.2,8,6,Center,Very Long,Long,2,23.0,5,2,3,6,7,9,7.0,2,4,1,0,1,0,Virgin PET,50.0,1.0,Yes
Signature,Made to Move,Standing Straight,143,29.2,8,6,Center,Long,Short,4,57.0,5,4,1,5,7,10,6.7,2,4,2,0,1,0,Virgin PET,48.0,1.0,Yes
Made to Move,Made to Move,Arms Open,119,29.0,7,5,Left,Medium,Long,4,29.0,6,1,1,5,4,9,5.4,2,3,0,0,0,0,rPET,80.0,1.1,Yes
Extra,Curvy,Two Hands Up,137,30.0,6,6,Center,Short,Knee,2,48.0,2,2,0,6,4,6,5.3,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Made to Move,Made to Move,Arms Open,119,29.0,7,5,Left,Short,Short,4,56.0,6,2,0,5,5,9,5.8,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Signature,Made to Move,Walking,139,29.2,8,6,Center,Medium,Knee,3,31.0,4,2,0,7,3,10,6.2,0,4,1,1,1,0,Virgin PET,52.0,1.0,Yes
Dreamtopia,Standard,Standing Straight,120,30.0,7,5,Back,Medium,Long,5,55.0,8,4,1,5,7,9,6.5,2,4,2,0,1,0,Virgin PET,48.0,1.0,Yes
Fashionistas,Standard,Sitting,120,29.2,3,8,Center,Long,Knee,3,14.0,4,1,1,1,2,4,2.0,0,1,0,0,0,0,Recycled Cardboard + rPET,98.0,0.85,Yes
Made to Move,Made to Move,Arms Open,122,29.0,7,5,Left,Short,Short,0,0.0,0,0,0,6,0,8,4.3,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Extra,Curvy,Standing Straight,136,30.2,6,6,Center,Medium,Knee,2,9.0,2,0,0,4,1,6,3.4,0,2,0,0,0,0,rPET,86.0,1.1,Yes
Extra,Curvy,One Hand on Hip,140,30.2,6,6,Center,Long,Short,5,57.0,7,4,1,6,7,8,6.8,2,4,2,0,1,0,Virgin PET,48.0,1.0,Yes
Dreamtopia,Standard,One Leg Bent,128,30.0,7,5,Back,Long,Short,3,37.0,5,3,1,7,5,8,6.5,1,4,1,1,1,0,Virgin PET,50.0,1.0,Yes
Extra,Curvy,One Leg Bent,130,30.0,6,6,Center,Medium,Knee,2,33.0,2,2,0,6,3,6,5.0,0,2,1,1,0,0,rPET,82.0,1.1,Yes
Fashionistas,Standard,Sitting,114,29.2,3,8,Center,Long,Short,1,15.0,1,1,1,0,1,3,1.0,0,1,0,0,0,0,Recycled Cardboard + rPET,98.0,0.85,Yes
Signature,Made to Move,Two Hands Up,150,29.0,8,6,Center,Long,Knee,1,20.0,1,1,1,7,2,9,5.6,0,3,0,0,0,1,rPET,79.0,1.1,Yes
Fashionistas,Standard,Walking,115,29.2,3,8,Center,Long,Short,5,59.0,7,4,1,3,7,5,4.8,2,3,2,1,1,0,rPET,68.0,1.1,Yes
Fashionistas,Standard,Sitting,111,29.2,3,8,Center,Long,Long,0,0.0,0,0,2,0,2,3,1.3,0,1,0,0,0,0,Recycled Cardboard + rPET,98.0,0.85,Yes
Careers,Standard,One Leg Bent,119,29.2,5,7,Center,Medium,Knee,3,43.0,4,3,0,3,4,6,4.0,1,2,1,1,0,0,rPET,80.0,1.1,Yes
Dreamtopia,Standard,Walking,123,30.0,7,5,Back,Short,Short,1,6.0,1,0,0,8,0,7,5.0,0,3,0,2,0,1,rPET,75.0,1.1,Yes
Fashionistas,Standard,One Hand Up,118,29.2,3,8,Center,Long,Knee,0,0.0,0,0,1,1,1,3,1.4,0,1,0,0,0,0,Recycled Cardboard + rPET,98.0,0.85,Yes
Dreamtopia,Standard,One Hand on Hip,133,30.0,7,5,Back,Very Long,Short,1,8.0,2,1,2,6,3,7,5.2,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Made to Move,Made to Move,Two Hands Up,130,29.0,7,5,Left,Medium,Short,3,39.0,5,1,0,6,3,9,5.6,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Made to Move,Made to Move,One Hand on Hip,125,29.0,7,5,Left,Long,Short,0,0.0,0,0,1,5,1,8,4.2,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Careers,Standard,One Leg Bent,119,29.2,5,7,Center,Medium,Short,1,16.0,1,1,0,3,0,5,2.4,0,2,0,1,0,0,Recycled Cardboard + rPET,94.0,0.85,Yes
Extra,Curvy,One Hand Up,138,30.2,6,6,Center,Long,Short,0,0.0,0,0,1,5,1,6,3.8,0,2,0,0,0,0,rPET,86.0,1.1,Yes
Extra,Curvy,Sitting,138,30.0,6,6,Center,Short,Short,5,45.0,7,3,0,4,5,8,5.2,2,3,1,0,0,0,rPET,78.0,1.1,Yes
Signature,Made to Move,One Hand on Hip,133,29.0,8,6,Center,Short,Short,0,0.0,0,0,0,5,0,9,4.0,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Careers,Standard,Arms Open,118,29.2,5,7,Center,Medium,Long,1,7.0,1,0,1,3,1,5,2.7,0,2,0,0,0,0,Recycled Cardboard + rPET,96.0,0.85,Yes
Careers,Standard,Standing Straight,115,29.0,5,7,Center,Short,Knee,2,11.0,6,0,0,1,2,5,2.2,0,2,0,0,0,0,Recycled Cardboard + rPET,96.0,0.85,Yes
Signature,Made to Move,One Hand Up,141,29.0,8,6,Center,Short,Knee,5,74.0,9,3,0,6,5,10,6.4,1,4,1,0,1,0,Virgin PET,52.0,1.0,Yes
Signature,Made to Move,Walking,132,29.0,8,6,Center,Long,Knee,4,29.0,6,3,1,7,5,10,6.9,1,4,1,1,1,0,Virgin PET,50.0,1.0,Yes
Extra,Curvy,One Hand on Hip,134,30.0,6,6,Center,Very Long,Knee,5,43.0,7,2,2,5,7,8,6.3,2,3,1,0,1,0,Virgin PET,52.0,1.0,Yes
Fashionistas,Standard,Walking,113,29.2,3,8,Center,Long,Knee,5,30.0,8,1,1,3,4,5,3.8,1,2,0,1,0,0,rPET,82.0,1.1,Yes
Signature,Made to Move,Walking,133,29.0,8,6,Center,Long,Long,3,40.0,4,2,2,7,6,10,7.2,1,4,1,1,1,0,Virgin PET,50.0,1.0,Yes
Made to Move,Made to Move,Arms Open,118,29.0,7,5,Left,Short,Short,1,5.0,1,0,0,5,0,8,3.8,0,2,0,0,0,0,rPET,86.0,1.1,Yes
Careers,Standard,Standing Straight,126,29.2,5,7,Center,Medium,Knee,0,0.0,0,0,0,2,0,5,1.9,0,1,0,0,0,0,Recycled Cardboard + rPET,98.0,0.85,Yes
Made to Move,Made to Move,Sitting,125,29.0,7,5,Left,Short,Short,4,31.0,5,2,0,4,4,9,5.0,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Careers,Standard,One Leg Bent,129,29.0,5,7,Center,Long,Short,3,31.0,6,1,1,4,4,6,4.4,2,3,0,1,0,0,rPET,78.0,1.1,Yes
Signature,Made to Move,One Leg Bent,145,29.2,8,6,Center,Medium,Short,5,64.0,9,5,0,7,6,10,7.2,1,4,2,1,1,1,Virgin PET,43.0,1.0,Yes
Dreamtopia,Standard,One Hand Up,134,30.2,7,5,Back,Long,Short,1,7.0,1,0,1,6,1,7,4.4,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Signature,Made to Move,One Hand on Hip,148,29.0,8,6,Center,Long,Long,1,1.0,1,0,2,6,2,9,5.2,0,2,0,0,0,1,rPET,81.0,1.1,Yes
Careers,Standard,One Leg Bent,121,29.0,5,7,Center,Medium,Long,3,32.0,4,2,1,4,4,6,4.4,1,3,1,1,0,0,rPET,78.0,1.1,Yes
Made to Move,Made to Move,Two Hands Up,130,29.0,7,5,Left,Long,Knee,4,25.0,5,2,1,6,5,9,6.2,1,4,1,0,1,0,Virgin PET,52.0,1.0,Yes
Made to Move,Made to Move,Sitting,127,29.0,7,5,Left,Medium,Knee,3,31.0,4,2,0,4,3,9,4.6,0,3,1,0,0,0,rPET,82.0,1.1,Yes
Careers,Standard,Walking,123,29.0,5,7,Center,Long,Short,2,19.0,4,2,1,5,3,5,4.3,0,3,1,1,0,0,rPET,80.0,1.1,Yes
Extra,Curvy,One Hand Up,132,30.2,6,6,Center,Very Long,Short,5,50.0,10,3,2,5,7,8,6.3,2,3,1,0,1,0,Virgin PET,52.0,1.0,Yes
Fashionistas,Standard,Standing Straight,111,29.0,3,8,Center,Long,Long,3,30.0,6,2,2,0,6,4,2.9,1,2,1,0,0,0,Recycled Cardboard + rPET,92.0,0.85,Yes
Dreamtopia,Standard,One Leg Bent,129,30.2,7,5,Back,Long,Knee,5,53.0,7,3,1,7,6,9,7.0,1,4,1,1,1,0,Virgin PET,50.0,1.0,Yes
Dreamtopia,Standard,One Hand on Hip,134,30.0,7,5,Back,Medium,Knee,4,38.0,6,2,0,6,4,8,5.7,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Dreamtopia,Standard,Standing Straight,120,30.0,7,5,Back,Very Long,Long,0,0.0,0,0,3,5,3,7,4.7,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Extra,Curvy,Arms Open,135,30.0,6,6,Center,Medium,Short,1,4.0,1,0,0,6,0,6,3.9,0,2,0,0,0,0,rPET,86.0,1.1,Yes
Extra,Curvy,Walking,134,30.2,6,6,Center,Short,Knee,2,29.0,2,2,0,7,3,6,5.4,0,3,1,1,0,0,rPET,80.0,1.1,Yes
Signature,Made to Move,Sitting,145,29.0,8,6,Center,Long,Knee,4,64.0,7,3,1,5,6,10,6.4,1,4,1,0,1,1,Virgin PET,47.0,1.0,Yes
Careers,Standard,Sitting,130,29.2,5,7,Center,Long,Knee,3,34.0,6,2,1,2,5,6,3.8,1,2,1,0,0,0,rPET,82.0,1.1,Yes
Extra,Curvy,Arms Open,137,30.2,6,6,Center,Long,Knee,2,33.0,3,2,1,6,4,6,5.3,2,3,1,0,0,0,rPET,78.0,1.1,Yes
Extra,Curvy,One Leg Bent,126,30.0,6,6,Center,Long,Short,5,64.0,7,4,1,6,7,8,6.8,2,4,2,1,1,0,Virgin PET,46.0,1.0,Yes
Signature,Made to Move,Sitting,150,29.0,8,6,Center,Medium,Knee,2,22.0,5,1,0,5,3,9,5.1,0,3,0,0,0,1,rPET,79.0,1.1,Yes
Dreamtopia,Standard,Sitting,121,30.2,7,5,Back,Medium,Short,2,7.0,4,0,0,5,1,7,4.0,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Signature,Made to Move,Standing Straight,132,29.0,8,6,Center,Short,Short,4,27.0,9,1,0,4,3,10,4.8,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Fashionistas,Standard,One Hand on Hip,117,29.2,3,8,Center,Long,Knee,3,29.0,4,2,1,1,4,4,2.6,1,2,1,0,0,0,Recycled Cardboard + rPET,92.0,0.85,Yes
Signature,Made to Move,Sitting,148,29.0,8,6,Center,Very Long,Short,3,17.0,4,1,2,5,3,10,5.3,0,3,0,0,0,1,rPET,79.0,1.1,Yes
Fashionistas,Standard,Two Hands Up,111,29.0,3,8,Center,Short,Knee,2,31.0,5,2,0,2,4,3,2.9,1,2,1,0,0,0,Recycled Cardboard + rPET,92.0,0.85,Yes
Dreamtopia,Standard,One Hand Up,130,30.0,7,5,Back,Long,Short,3,22.0,4,1,1,6,3,8,5.4,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Fashionistas,Standard,One Leg Bent,120,29.0,3,8,Center,Long,Knee,2,33.0,4,1,1,3,3,3,3.0,0,2,0,1,0,0,Recycled Cardboard + rPET,94.0,0.85,Yes
Fashionistas,Standard,One Leg Bent,114,29.2,3,8,Center,Medium,Short,5,113.0,9,5,0,2,6,5,4.0,1,3,2,1,0,0,rPET,76.0,1.1,Yes
Made to Move,Made to Move,One Leg Bent,118,29.2,7,5,Left,Medium,Short,4,33.0,8,2,0,5,4,9,5.4,1,3,1,1,0,0,rPET,78.0,1.1,Yes
Fashionistas,Standard,One Hand Up,111,29.2,3,8,Center,Long,Knee,2,17.0,4,1,1,1,2,3,1.8,0,1,0,0,0,0,Recycled Cardboard + rPET,98.0,0.85,Yes
Signature,Made to Move,Arms Open,143,29.2,8,6,Center,Long,Short,3,33.0,6,1,1,7,4,10,6.6,1,4,0,0,1,0,Virgin PET,54.0,1.0,Yes
Careers,Standard,Walking,120,29.0,5,7,Center,Long,Knee,1,1.0,1,0,1,5,1,5,3.6,0,2,0,1,0,0,rPET,84.0,1.1,Yes
Fashionistas,Standard,Walking,113,29.2,3,8,Center,Very Long,Knee,3,30.0,5,2,2,3,6,4,4.2,1,3,1,1,0,0,rPET,78.0,1.1,Yes
Careers,Standard,Standing Straight,128,29.2,5,7,Center,Long,Short,1,9.0,2,1,1,2,2,5,2.6,0,2,0,0,0,0,Recycled Cardboard + rPET,96.0,0.85,Yes
Signature,Made to Move,Sitting,134,29.0,8,6,Center,Short,Knee,2,20.0,4,2,0,4,3,9,4.6,0,3,1,0,0,0,rPET,82.0,1.1,Yes
Dreamtopia,Standard,One Leg Bent,133,30.0,7,5,Back,Long,Long,5,96.0,8,5,2,7,8,9,7.8,2,4,2,1,1,0,Virgin PET,46.0,1.0,Yes
Dreamtopia,Standard,Arms Open,133,30.0,7,5,Back,Long,Knee,2,32.0,5,2,1,7,5,7,6.3,1,4,1,0,1,0,Virgin PET,52.0,1.0,Yes
Careers,Standard,Two Hands Up,122,29.0,5,7,Center,Short,Short,2,28.0,3,2,0,4,3,5,3.8,0,2,1,0,0,0,rPET,84.0,1.1,Yes
Made to Move,Made to Move,Sitting,128,29.0,7,5,Left,Long,Short,1,15.0,1,1,1,4,1,8,3.8,0,2,0,0,0,0,rPET,86.0,1.1,Yes
Signature,Made to Move,One Hand on Hip,130,29.0,8,6,Center,Long,Short,4,55.0,7,3,1,5,6,10,6.4,1,4,1,0,1,0,Virgin PET,52.0,1.0,Yes
Made to Move,Made to Move,Walking,130,29.0,7,5,Left,Short,Long,2,14.0,4,1,1,7,2,8,5.4,0,3,0,1,0,0,rPET,82.0,1.1,Yes
Fashionistas,Standard,Standing Straight,111,29.0,3,8,Center,Long,Knee,0,0.0,0,0,1,0,1,3,1.0,0,1,0,0,0,0,Recycled Cardboard + rPET,98.0,0.85,Yes
Careers,Standard,One Hand Up,127,29.2,5,7,Center,Long,Short,4,24.0,7,1,1,3,4,6,4.0,1,2,0,0,0,0,rPET,84.0,1.1,Yes
Dreamtopia,Standard,Two Hands Up,128,30.0,7,5,Back,Long,Short,0,0.0,0,0,1,7,1,7,4.9,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Fashionistas,Standard,Walking,115,29.0,3,8,Center,Long,Knee,5,51.0,10,3,1,3,6,5,4.4,1,3,1,1,0,0,rPET,78.0,1.1,Yes
Made to Move,Made to Move,Standing Straight,121,29.0,7,5,Left,Short,Short,2,11.0,2,0,0,4,1,8,3.8,0,2,0,0,0,0,rPET,86.0,1.1,Yes
Made to Move,Made to Move,Standing Straight,123,29.2,7,5,Left,Short,Knee,5,58.0,8,3,0,4,5,10,5.6,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Extra,Curvy,Sitting,138,30.0,6,6,Center,Long,Long,1,10.0,1,1,2,4,2,6,3.7,0,2,0,0,0,0,rPET,86.0,1.1,Yes
Signature,Made to Move,Arms Open,141,29.0,8,6,Center,Short,Long,4,27.0,5,2,1,7,5,10,6.9,1,3,1,0,1,0,Virgin PET,54.0,1.0,Yes
Extra,Curvy,One Hand Up,126,30.2,6,6,Center,Very Long,Knee,2,30.0,5,2,2,5,6,6,5.6,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Extra,Curvy,One Leg Bent,136,30.2,6,6,Center,Short,Long,3,33.0,3,1,1,6,3,7,5.2,0,3,0,1,0,0,rPET,82.0,1.1,Yes
Fashionistas,Standard,Two Hands Up,116,29.0,3,8,Center,Medium,Long,1,20.0,1,1,1,2,2,3,2.2,0,2,0,0,0,0,Recycled Cardboard + rPET,96.0,0.85,Yes
Dreamtopia,Standard,Walking,125,30.0,7,5,Back,Long,Long,5,43.0,6,1,2,8,6,9,7.5,2,4,0,2,1,1,Virgin PET,43.0,1.0,Yes
Careers,Standard,One Hand Up,117,29.0,5,7,Center,Medium,Knee,2,18.0,2,1,0,2,1,5,2.2,0,2,0,0,0,0,Recycled Cardboard + rPET,96.0,0.85,Yes
Extra,Curvy,Standing Straight,128,30.0,6,6,Center,Long,Knee,2,18.0,5,1,1,4,3,6,4.0,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Dreamtopia,Standard,One Hand on Hip,130,30.0,7,5,Back,Long,Knee,5,35.0,7,2,1,6,5,9,6.2,1,4,1,0,1,0,Virgin PET,52.0,1.0,Yes
Extra,Curvy,One Hand on Hip,129,30.0,6,6,Center,Medium,Knee,2,21.0,2,1,0,5,2,6,4.2,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Signature,Made to Move,Sitting,133,29.0,8,6,Center,Medium,Knee,5,41.0,7,1,0,4,4,10,5.2,1,3,0,0,0,0,rPET,82.0,1.1,Yes
Extra,Curvy,Walking,138,30.0,6,6,Center,Medium,Long,1,10.0,2,0,1,7,2,6,5.0,0,3,0,1,0,0,rPET,82.0,1.1,Yes
Fashionistas,Standard,Arms Open,120,29.2,3,8,Center,Long,Knee,1,10.0,1,1,1,3,1,3,2.3,0,1,0,0,0,0,Recycled Cardboard + rPET,98.0,0.85,Yes
Signature,Made to Move,Sitting,141,29.0,8,6,Center,Medium,Short,4,27.0,7,2,0,5,4,10,5.6,1,3,1,0,0,0,rPET,80.0,1.1,Yes
